dish_id,total_calories,total_mass,ingredients,split,processed_ingredients
dish_1562611680,326.888977,256.0,ingr_0000000523;ingr_0000000122;ingr_0000000161;ingr_0000000392;ingr_0000000520;ingr_0000000094;ingr_0000000189;ingr_0000000201;ingr_0000000291;ingr_0000000006;ingr_0000000010;ingr_0000000072;ingr_0000000448;ingr_0000000036;ingr_0000000126;ingr_0000000026;ingr_0000000073;ingr_0000000038,train,cilantro;garlic;olive oil;pepperoni pizza;lemon juice;onions;vinegar;blueberries;caesar salad;steak;kale;jalapenos;spinach (raw);mustard;white rice;radishes;pineapple
dish_1564432238,455.387939,315.0,ingr_0000000471;ingr_0000000007;ingr_0000000367;ingr_0000000116;ingr_0000000448;ingr_0000000392;ingr_0000000524;ingr_0000000189;ingr_0000000520;ingr_0000000152;ingr_0000000029;ingr_0000000030;ingr_0000000291;ingr_0000000312;ingr_0000000038;ingr_0000000462;ingr_0000000514;ingr_0000000094;ingr_0000000031;ingr_0000000161;ingr_0000000122;ingr_0000000045,train,cherry tomatoes;cauliflower;lime;mayonnaise;jalapenos;pepperoni pizza;parsley;vinegar;lemon juice;cabbage;mixed greens;lettuce;pepper;pineapple;pork;wheat berry;onions;cucumbers;olive oil;garlic;carrot
dish_1563468327,351.886047,483.0,ingr_0000000192;ingr_0000000437;ingr_0000000001;ingr_0000000038;ingr_0000000121;ingr_0000000161;ingr_0000000013,train,yam;sweet potato;cottage cheese;pineapple;watermelon;olive oil;berries
dish_1562862493,198.320007,134.0,ingr_0000000008,train,scrambled eggs
dish_1558549008,20.700001,115.0,ingr_0000000471,train,cherry tomatoes
dish_1560453174,329.716248,256.0,ingr_0000000521;ingr_0000000516;ingr_0000000045;ingr_0000000161;ingr_0000000077;ingr_0000000520;ingr_0000000524;ingr_0000000043;ingr_0000000201;ingr_0000000028;ingr_0000000312;ingr_0000000291;ingr_0000000122;ingr_0000000189;ingr_0000000485;ingr_0000000126;ingr_0000000036;ingr_0000000518;ingr_0000000514;ingr_0000000021,train,basil;rosemary;carrot;olive oil;almonds;lemon juice;parsley;green beans;blueberries;chicken;pepper;garlic;vinegar;zucchini;mustard;spinach (raw);thyme;wheat berry;squash
dish_1563824250,17.200001,43.0,ingr_0000000094,train,onions
dish_1560543755,257.924927,264.0,ingr_0000000535;ingr_0000000028;ingr_0000000007;ingr_0000000043;ingr_0000000036;ingr_0000000540;ingr_0000000161;ingr_0000000433;ingr_0000000029;ingr_0000000045;ingr_0000000027;ingr_0000000291;ingr_0000000026;ingr_0000000189;ingr_0000000180;ingr_0000000152;ingr_0000000073;ingr_0000000508;ingr_0000000122,train,green onions;chicken;cauliflower;green beans;spinach (raw);ginger;olive oil;roasted potatoes;mixed greens;carrot;broccoli;white rice;vinegar;rice noodles;cabbage;radishes;soy sauce;garlic
dish_1563822597,59.400002,176.0,ingr_0000000027;ingr_0000000006;ingr_0000000021;ingr_0000000485,train,broccoli;caesar salad;squash;zucchini
dish_1558459276,102.699997,79.0,ingr_0000000026,train,white rice
dish_1560974707,55.025124,60.0,ingr_0000000094;ingr_0000000036;ingr_0000000471;ingr_0000000251;ingr_0000000047;ingr_0000000052;ingr_0000000291;ingr_0000000203;ingr_0000000032;ingr_0000000122;ingr_0000000367;ingr_0000000434;ingr_0000000320,train,onions;spinach (raw);cherry tomatoes;tortilla chips;corn;cheese;chili;tomatoes;garlic;lime;sour cream;black beans
dish_1564686855,1030.160645,435.0,ingr_0000000031;ingr_0000000094;ingr_0000000257;ingr_0000000244;ingr_0000000471;ingr_0000000012;ingr_0000000291;ingr_0000000030;ingr_0000000011;ingr_0000000029;ingr_0000000367;ingr_0000000312;ingr_0000000161;ingr_0000000189,train,cucumbers;onions;brownies;chicken breast;cherry tomatoes;olives;lettuce;cheese pizza;mixed greens;lime;pepper;olive oil;vinegar
dish_1565119669,55.965,229.0,ingr_0000000072;ingr_0000000485;ingr_0000000517;ingr_0000000529,train,kale;zucchini;chard;chayote squash
dish_1566417516,385.402527,425.0,ingr_0000000514;ingr_0000000335;ingr_0000000471;ingr_0000000029;ingr_0000000528;ingr_0000000291;ingr_0000000126;ingr_0000000122;ingr_0000000161;ingr_0000000189;ingr_0000000517;ingr_0000000049;ingr_0000000527;ingr_0000000133;ingr_0000000433;ingr_0000000524;ingr_0000000520,train,wheat berry;eggplant;cherry tomatoes;mixed greens;celery root;mustard;garlic;olive oil;vinegar;chard;fish;chive;shallots;roasted potatoes;parsley;lemon juice
dish_1558724031,358.710999,303.0,ingr_0000000471;ingr_0000000037;ingr_0000000077;ingr_0000000007,train,cherry tomatoes;cantaloupe;almonds;cauliflower
dish_1558637393,739.968018,128.0,ingr_0000000077,train,almonds
dish_1563393217,49.230003,228.0,ingr_0000000485;ingr_0000000027;ingr_0000000021;ingr_0000000094;ingr_0000000031,train,zucchini;broccoli;squash;onions;cucumbers
dish_1562789268,569.511536,350.0,ingr_0000000462;ingr_0000000205;ingr_0000000023;ingr_0000000520;ingr_0000000524;ingr_0000000521;ingr_0000000133;ingr_0000000471;ingr_0000000011;ingr_0000000312;ingr_0000000291;ingr_0000000189;ingr_0000000161;ingr_0000000094;ingr_0000000122;ingr_0000000027,train,pork;corn on the cob;brown rice;lemon juice;parsley;basil;shallots;cherry tomatoes;cheese pizza;pepper;vinegar;olive oil;onions;garlic;broccoli
dish_1559700851,61.089886,54.0,ingr_0000000036;ingr_0000000189;ingr_0000000032;ingr_0000000291;ingr_0000000126;ingr_0000000122;ingr_0000000161;ingr_0000000526;ingr_0000000031,train,spinach (raw);vinegar;tomatoes;mustard;garlic;olive oil;mustard greens;cucumbers
dish_1561492204,488.636322,334.0,ingr_0000000161;ingr_0000000201;ingr_0000000094;ingr_0000000032;ingr_0000000291;ingr_0000000194;ingr_0000000028;ingr_0000000312;ingr_0000000126;ingr_0000000122;ingr_0000000033;ingr_0000000513;ingr_0000000448;ingr_0000000036;ingr_0000000189;ingr_0000000073,train,olive oil;blueberries;onions;tomatoes;fried rice;chicken;pepper;mustard;garlic;bell peppers;millet;jalapenos;spinach (raw);vinegar;radishes
dish_1567613057,406.68631,749.0,ingr_0000000161;ingr_0000000128;ingr_0000000121;ingr_0000000437;ingr_0000000475,train,olive oil;egg whites;watermelon;sweet potato;salsa
dish_1564761488,327.986023,336.0,ingr_0000000080;ingr_0000000128;ingr_0000000194;ingr_0000000112,train,turkey bacon;egg whites;fried rice;honeydew melons
dish_1559678330,169.694122,150.0,ingr_0000000161;ingr_0000000036;ingr_0000000189;ingr_0000000032;ingr_0000000122;ingr_0000000031;ingr_0000000291;ingr_0000000126;ingr_0000000526,train,olive oil;spinach (raw);vinegar;tomatoes;garlic;cucumbers;mustard;mustard greens
dish_1565033110,47.599998,147.0,ingr_0000000027;ingr_0000000029,train,broccoli;mixed greens
dish_1564428444,157.001038,277.0,ingr_0000000161;ingr_0000000094;ingr_0000000291;ingr_0000000122;ingr_0000000213;ingr_0000000029;ingr_0000000126;ingr_0000000471;ingr_0000000007;ingr_0000000189,train,olive oil;onions;garlic;pears;mixed greens;mustard;cherry tomatoes;cauliflower;vinegar
dish_1558459115,271.540009,298.0,ingr_0000000077;ingr_0000000054;ingr_0000000026;ingr_0000000471;ingr_0000000440,train,almonds;apple;white rice;cherry tomatoes;grapes
dish_1558723777,74.360001,143.0,ingr_0000000054,train,apple
dish_1558721757,768.873047,133.0,ingr_0000000077,train,almonds
dish_1564777960,331.007507,147.0,ingr_0000000511;ingr_0000000011;ingr_0000000133;ingr_0000000094;ingr_0000000291;ingr_0000000161;ingr_0000000189;ingr_0000000525;ingr_0000000025;ingr_0000000513,train,spinach (cooked);cheese pizza;shallots;onions;olive oil;vinegar;bok choy;beef;millet
dish_1563468269,129.01001,302.0,ingr_0000000013;ingr_0000000121;ingr_0000000038,train,berries;watermelon;pineapple
dish_1558380557,699.320068,212.0,ingr_0000000440;ingr_0000000077;ingr_0000000039,train,grapes;almonds;sausage
dish_1562873028,280.3414,320.0,ingr_0000000538;ingr_0000000524;ingr_0000000539;ingr_0000000161;ingr_0000000471;ingr_0000000527;ingr_0000000049;ingr_0000000312;ingr_0000000291;ingr_0000000047;ingr_0000000515;ingr_0000000434;ingr_0000000043;ingr_0000000034;ingr_0000000045;ingr_0000000472;ingr_0000000122;ingr_0000000367,train,jicama;parsley;nopales;olive oil;cherry tomatoes;chive;fish;pepper;corn;arugula;sour cream;green beans;celery;carrot;couscous;garlic;lime
dish_1558637769,80.079994,154.0,ingr_0000000054,train,apple
dish_1558724959,581.441956,426.0,ingr_0000000016;ingr_0000000045;ingr_0000000077;ingr_0000000054,train,brussels sprouts;carrot;almonds;apple
dish_1558115867,132.962997,23.0,ingr_0000000077,train,almonds
dish_1561580370,126.795876,124.0,ingr_0000000036;ingr_0000000514;ingr_0000000052;ingr_0000000471;ingr_0000000074;ingr_0000000532;ingr_0000000006;ingr_0000000094,train,spinach (raw);wheat berry;cheese;cherry tomatoes;pasta;pesto;caesar salad;onions
dish_1561061658,226.000137,227.0,ingr_0000000306;ingr_0000000312;ingr_0000000148;ingr_0000000016;ingr_0000000526;ingr_0000000122;ingr_0000000072;ingr_0000000524;ingr_0000000291;ingr_0000000133;ingr_0000000515;ingr_0000000161;ingr_0000000520;ingr_0000000140;ingr_0000000473;ingr_0000000153;ingr_0000000054,train,croutons;pepper;parmesan cheese;brussels sprouts;mustard greens;garlic;kale;parsley;shallots;arugula;olive oil;lemon juice;caesar dressing;cranberries;bulgur;apple
dish_1559838402,222.759506,233.0,ingr_0000000004;ingr_0000000437;ingr_0000000192;ingr_0000000013,train,bacon;sweet potato;yam;berries
dish_1564686832,829.737549,392.0,ingr_0000000094;ingr_0000000257;ingr_0000000012;ingr_0000000244;ingr_0000000291;ingr_0000000367;ingr_0000000471;ingr_0000000011;ingr_0000000030;ingr_0000000312;ingr_0000000029;ingr_0000000161;ingr_0000000189;ingr_0000000031,train,onions;brownies;olives;chicken breast;lime;cherry tomatoes;cheese pizza;lettuce;pepper;mixed greens;olive oil;vinegar;cucumbers
dish_1561753238,298.034393,333.0,ingr_0000000161;ingr_0000000515;ingr_0000000023;ingr_0000000312;ingr_0000000021;ingr_0000000072;ingr_0000000332;ingr_0000000524;ingr_0000000122;ingr_0000000520;ingr_0000000291;ingr_0000000522;ingr_0000000518;ingr_0000000031,train,olive oil;arugula;brown rice;pepper;squash;kale;salmon;parsley;garlic;lemon juice;tatsoi;thyme;cucumbers
dish_1566938026,450.576294,219.0,ingr_0000000511;ingr_0000000092;ingr_0000000011;ingr_0000000291;ingr_0000000520;ingr_0000000021;ingr_0000000335;ingr_0000000046;ingr_0000000155;ingr_0000000161;ingr_0000000377;ingr_0000000122;ingr_0000000133,train,spinach (cooked);wine;cheese pizza;lemon juice;squash;eggplant;mushroom;chicken thighs;olive oil;quinoa;garlic;shallots
dish_1559751801,451.635986,343.0,ingr_0000000013;ingr_0000000192;ingr_0000000179;ingr_0000000510,train,berries;yam;eggs;chicken apple sausage
dish_1564000490,532.706482,325.0,ingr_0000000312;ingr_0000000515;ingr_0000000341;ingr_0000000006;ingr_0000000441;ingr_0000000133;ingr_0000000011;ingr_0000000291;ingr_0000000122;ingr_0000000520;ingr_0000000521;ingr_0000000046;ingr_0000000514;ingr_0000000519;ingr_0000000518;ingr_0000000161;ingr_0000000516;ingr_0000000428;ingr_0000000028,train,pepper;arugula;cream;caesar salad;butter;shallots;cheese pizza;garlic;lemon juice;basil;mushroom;wheat berry;oregano;thyme;olive oil;rosemary;white wine;chicken
dish_1564000459,485.186493,217.0,ingr_0000000441;ingr_0000000514;ingr_0000000518;ingr_0000000161;ingr_0000000516;ingr_0000000520;ingr_0000000011;ingr_0000000133;ingr_0000000122;ingr_0000000291;ingr_0000000428;ingr_0000000312;ingr_0000000341;ingr_0000000046;ingr_0000000515;ingr_0000000519;ingr_0000000521;ingr_0000000028,train,butter;wheat berry;thyme;olive oil;rosemary;lemon juice;cheese pizza;shallots;garlic;white wine;pepper;cream;mushroom;arugula;oregano;basil;chicken
dish_1558457530,16.0,64.0,ingr_0000000007,train,cauliflower
dish_1558723449,74.360001,143.0,ingr_0000000054,train,apple
dish_1567628157,373.190979,355.0,ingr_0000000535;ingr_0000000049;ingr_0000000054;ingr_0000000515;ingr_0000000094;ingr_0000000517;ingr_0000000534;ingr_0000000473;ingr_0000000520;ingr_0000000122;ingr_0000000291;ingr_0000000524;ingr_0000000072;ingr_0000000161;ingr_0000000526;ingr_0000000133;ingr_0000000153,train,green onions;fish;apple;arugula;onions;chard;country rice;cranberries;lemon juice;garlic;parsley;kale;olive oil;mustard greens;shallots;bulgur
dish_1565728415,194.42775,80.0,ingr_0000000011;ingr_0000000133;ingr_0000000511;ingr_0000000094;ingr_0000000161;ingr_0000000189;ingr_0000000513;ingr_0000000291;ingr_0000000525;ingr_0000000025,train,cheese pizza;shallots;spinach (cooked);onions;olive oil;vinegar;millet;bok choy;beef
dish_1565383026,171.559998,287.0,ingr_0000000036;ingr_0000000031;ingr_0000000012,train,spinach (raw);cucumbers;olives
dish_1558642089,39.360001,96.0,ingr_0000000045,train,carrot
dish_1562959732,374.663696,232.0,ingr_0000000291;ingr_0000000508;ingr_0000000525;ingr_0000000462;ingr_0000000162;ingr_0000000312;ingr_0000000122;ingr_0000000328;ingr_0000000026,train,soy sauce;bok choy;pork;parsnips;pepper;garlic;sugar;white rice
dish_1560368972,196.840424,107.0,ingr_0000000462;ingr_0000000471;ingr_0000000122;ingr_0000000133;ingr_0000000026;ingr_0000000291;ingr_0000000094;ingr_0000000521;ingr_0000000161;ingr_0000000023;ingr_0000000189;ingr_0000000312;ingr_0000000027;ingr_0000000520;ingr_0000000524,train,pork;cherry tomatoes;garlic;shallots;white rice;onions;basil;olive oil;brown rice;vinegar;pepper;broccoli;lemon juice;parsley
dish_1561576590,29.231468,101.0,ingr_0000000021;ingr_0000000161;ingr_0000000291,train,squash;olive oil
dish_1558723866,14.75,59.0,ingr_0000000007,train,cauliflower
dish_1564778030,504.417786,283.0,ingr_0000000513;ingr_0000000511;ingr_0000000189;ingr_0000000094;ingr_0000000011;ingr_0000000027;ingr_0000000525;ingr_0000000029;ingr_0000000133;ingr_0000000035;ingr_0000000025;ingr_0000000161;ingr_0000000126;ingr_0000000122;ingr_0000000124;ingr_0000000030;ingr_0000000291,train,millet;spinach (cooked);vinegar;onions;cheese pizza;broccoli;bok choy;mixed greens;shallots;blue cheese;beef;olive oil;mustard;garlic;walnuts;lettuce
dish_1561392512,42.75,75.0,ingr_0000000013,train,berries
dish_1564675118,177.188782,238.0,ingr_0000000161;ingr_0000000121;ingr_0000000437,train,olive oil;watermelon;sweet potato
dish_1559319860,70.330002,13.0,ingr_0000000004,train,bacon
dish_1559242568,116.116005,203.0,ingr_0000000213,train,pears
dish_1563824339,85.339996,175.0,ingr_0000000094;ingr_0000000471;ingr_0000000012;ingr_0000000033,train,onions;cherry tomatoes;olives;bell peppers
dish_1567021831,252.435623,228.0,ingr_0000000471;ingr_0000000312;ingr_0000000527;ingr_0000000514;ingr_0000000072;ingr_0000000126;ingr_0000000161;ingr_0000000122;ingr_0000000124;ingr_0000000520;ingr_0000000291;ingr_0000000049;ingr_0000000517;ingr_0000000201;ingr_0000000189;ingr_0000000515;ingr_0000000524;ingr_0000000133,train,cherry tomatoes;pepper;chive;wheat berry;kale;mustard;olive oil;garlic;walnuts;lemon juice;fish;chard;blueberries;vinegar;arugula;parsley;shallots
dish_1559846099,206.938995,114.0,ingr_0000000507;ingr_0000000077;ingr_0000000027,train,mandarin oranges;almonds;broccoli
dish_1562873155,41.33675,79.0,ingr_0000000043;ingr_0000000161,train,green beans;olive oil
dish_1562094621,10.54,34.0,ingr_0000000043,train,green beans
dish_1563900150,202.2966,154.0,ingr_0000000437;ingr_0000000161;ingr_0000000008,train,sweet potato;olive oil;scrambled eggs
dish_1562086702,178.529999,33.0,ingr_0000000004,train,bacon
dish_1564429894,498.769836,566.0,ingr_0000000377;ingr_0000000291;ingr_0000000021;ingr_0000000116;ingr_0000000515;ingr_0000000524;ingr_0000000045;ingr_0000000472;ingr_0000000312;ingr_0000000514;ingr_0000000462;ingr_0000000448;ingr_0000000152;ingr_0000000133;ingr_0000000518;ingr_0000000161;ingr_0000000122;ingr_0000000520;ingr_0000000007,train,quinoa;squash;mayonnaise;arugula;parsley;carrot;couscous;pepper;wheat berry;pork;jalapenos;cabbage;shallots;thyme;olive oil;garlic;lemon juice;cauliflower
dish_1561662458,124.815498,119.0,ingr_0000000030;ingr_0000000367;ingr_0000000291;ingr_0000000029;ingr_0000000094;ingr_0000000031;ingr_0000000189;ingr_0000000205;ingr_0000000161;ingr_0000000312;ingr_0000000471,train,lettuce;lime;mixed greens;onions;cucumbers;vinegar;corn on the cob;olive oil;pepper;cherry tomatoes
dish_1558720364,73.839996,142.0,ingr_0000000054,train,apple
dish_1559845290,66.220001,86.0,ingr_0000000005,train,potatoes
dish_1559844506,98.959999,180.0,ingr_0000000507;ingr_0000000440;ingr_0000000002,train,mandarin oranges;grapes;strawberries
dish_1560360055,362.734009,180.0,ingr_0000000039;ingr_0000000008,train,sausage;scrambled eggs
dish_1567106825,220.200867,104.0,ingr_0000000525;ingr_0000000513;ingr_0000000035;ingr_0000000094;ingr_0000000126;ingr_0000000161;ingr_0000000133;ingr_0000000511;ingr_0000000029;ingr_0000000291;ingr_0000000025;ingr_0000000189;ingr_0000000122;ingr_0000000030;ingr_0000000124,train,bok choy;millet;blue cheese;onions;mustard;olive oil;shallots;spinach (cooked);mixed greens;beef;vinegar;garlic;lettuce;walnuts
dish_1560453380,411.388397,480.0,ingr_0000000485;ingr_0000000023;ingr_0000000515;ingr_0000000043;ingr_0000000514;ingr_0000000516;ingr_0000000032;ingr_0000000028;ingr_0000000312;ingr_0000000512;ingr_0000000036;ingr_0000000021;ingr_0000000332;ingr_0000000518;ingr_0000000161;ingr_0000000521;ingr_0000000520;ingr_0000000524;ingr_0000000291;ingr_0000000122,train,zucchini;brown rice;arugula;green beans;wheat berry;rosemary;tomatoes;chicken;pepper;kimchi;spinach (raw);squash;salmon;thyme;olive oil;basil;lemon juice;parsley;garlic
dish_1566849327,551.702026,362.0,ingr_0000000148;ingr_0000000029;ingr_0000000042;ingr_0000000012;ingr_0000000028,train,parmesan cheese;mixed greens;avocado;olives;chicken
dish_1560527191,663.989319,318.0,ingr_0000000526;ingr_0000000031;ingr_0000000004;ingr_0000000013;ingr_0000000032;ingr_0000000122;ingr_0000000005;ingr_0000000291;ingr_0000000039;ingr_0000000126;ingr_0000000189;ingr_0000000036;ingr_0000000161,train,mustard greens;cucumbers;bacon;berries;tomatoes;garlic;potatoes;sausage;mustard;vinegar;spinach (raw);olive oil
dish_1563898786,420.928467,344.0,ingr_0000000126;ingr_0000000161;ingr_0000000033;ingr_0000000027;ingr_0000000073;ingr_0000000291;ingr_0000000122;ingr_0000000008;ingr_0000000189;ingr_0000000031,train,mustard;olive oil;bell peppers;broccoli;radishes;garlic;scrambled eggs;vinegar;cucumbers
dish_1560973958,145.313232,121.0,ingr_0000000514;ingr_0000000161;ingr_0000000126;ingr_0000000082;ingr_0000000367;ingr_0000000291;ingr_0000000129;ingr_0000000312;ingr_0000000515;ingr_0000000058,train,wheat berry;olive oil;mustard;pecans;lime;raisins;pepper;arugula;orange
dish_1563206582,229.248688,320.0,ingr_0000000192;ingr_0000000128;ingr_0000000161;ingr_0000000437,train,yam;egg whites;olive oil;sweet potato
dish_1565207815,40.848213,80.0,ingr_0000000016;ingr_0000000291;ingr_0000000312;ingr_0000000161,train,brussels sprouts;pepper;olive oil
dish_1568314823,144.0,90.0,ingr_0000000042,train,avocado
dish_1565119464,504.065033,223.0,ingr_0000000513;ingr_0000000054;ingr_0000000011;ingr_0000000291;ingr_0000000161;ingr_0000000094;ingr_0000000473;ingr_0000000126;ingr_0000000189;ingr_0000000036;ingr_0000000511;ingr_0000000025;ingr_0000000133;ingr_0000000525,train,millet;apple;cheese pizza;olive oil;onions;cranberries;mustard;vinegar;spinach (raw);spinach (cooked);beef;shallots;bok choy
dish_1565725047,77.659996,110.0,ingr_0000000045;ingr_0000000012,train,carrot;olives
dish_1559841163,357.043518,335.0,ingr_0000000041;ingr_0000000008;ingr_0000000192;ingr_0000000437;ingr_0000000510;ingr_0000000027,train,blackberries;scrambled eggs;yam;sweet potato;chicken apple sausage;broccoli
dish_1563568338,631.706665,371.0,ingr_0000000291;ingr_0000000122;ingr_0000000161;ingr_0000000072;ingr_0000000094;ingr_0000000514;ingr_0000000046;ingr_0000000205;ingr_0000000421;ingr_0000000527;ingr_0000000011;ingr_0000000045;ingr_0000000518;ingr_0000000034;ingr_0000000341;ingr_0000000026;ingr_0000000179,train,garlic;olive oil;kale;onions;wheat berry;mushroom;corn on the cob;ground turkey;chive;cheese pizza;carrot;thyme;celery;cream;white rice;eggs
dish_1563468299,210.350006,385.0,ingr_0000000001;ingr_0000000038;ingr_0000000121;ingr_0000000013,train,cottage cheese;pineapple;watermelon;berries
dish_1565033265,1324.084961,625.0,ingr_0000000012;ingr_0000000029;ingr_0000000027;ingr_0000000028;ingr_0000000338;ingr_0000000161,train,olives;mixed greens;broccoli;chicken;vinaigrette;olive oil
dish_1563475921,244.343323,348.0,ingr_0000000133;ingr_0000000122;ingr_0000000520;ingr_0000000094;ingr_0000000036;ingr_0000000448;ingr_0000000038;ingr_0000000007;ingr_0000000112;ingr_0000000203;ingr_0000000291;ingr_0000000161;ingr_0000000367;ingr_0000000540;ingr_0000000023;ingr_0000000523;ingr_0000000332,train,shallots;garlic;lemon juice;onions;spinach (raw);jalapenos;pineapple;cauliflower;honeydew melons;chili;olive oil;lime;ginger;brown rice;cilantro;salmon
dish_1561665024,100.570984,121.0,ingr_0000000520;ingr_0000000094;ingr_0000000161;ingr_0000000029;ingr_0000000524;ingr_0000000291;ingr_0000000054;ingr_0000000513;ingr_0000000043;ingr_0000000189,train,lemon juice;onions;olive oil;mixed greens;parsley;apple;millet;green beans;vinegar
dish_1563813308,224.982895,76.0,ingr_0000000291;ingr_0000000312;ingr_0000000016;ingr_0000000161;ingr_0000000004,train,pepper;brussels sprouts;olive oil;bacon
dish_1561062555,47.093922,32.0,ingr_0000000054;ingr_0000000133;ingr_0000000291;ingr_0000000153;ingr_0000000161;ingr_0000000473;ingr_0000000520;ingr_0000000526;ingr_0000000524;ingr_0000000515;ingr_0000000122,train,apple;shallots;bulgur;olive oil;cranberries;lemon juice;mustard greens;parsley;arugula;garlic
dish_1558723414,51.988998,49.0,ingr_0000000205,train,corn on the cob
dish_1562691674,376.976868,435.0,ingr_0000000437;ingr_0000000161;ingr_0000000027;ingr_0000000128;ingr_0000000192;ingr_0000000545;ingr_0000000543;ingr_0000000510;ingr_0000000502,train,sweet potato;olive oil;broccoli;egg whites;yam;greek yogurt;chia seeds;chicken apple sausage;milk
dish_1566591080,909.629578,549.0,ingr_0000000312;ingr_0000000332;ingr_0000000028;ingr_0000000012;ingr_0000000515;ingr_0000000023;ingr_0000000484;ingr_0000000161;ingr_0000000518;ingr_0000000045;ingr_0000000291,train,pepper;salmon;chicken;olives;arugula;brown rice;chicken salad;olive oil;thyme;carrot
dish_1564082462,905.354492,609.0,ingr_0000000508;ingr_0000000532;ingr_0000000471;ingr_0000000023;ingr_0000000517;ingr_0000000036;ingr_0000000462;ingr_0000000052;ingr_0000000006;ingr_0000000524;ingr_0000000026;ingr_0000000328;ingr_0000000122;ingr_0000000045;ingr_0000000291;ingr_0000000312;ingr_0000000525;ingr_0000000074;ingr_0000000161;ingr_0000000521;ingr_0000000516;ingr_0000000520;ingr_0000000094;ingr_0000000527;ingr_0000000028,train,soy sauce;pesto;cherry tomatoes;brown rice;chard;spinach (raw);pork;cheese;caesar salad;parsley;white rice;sugar;garlic;carrot;pepper;bok choy;pasta;olive oil;basil;rosemary;lemon juice;onions;chive;chicken
